student_num,level,participation,midterm,pe,final,total,faculty,is_afast
A0002012N,50,3,57,16,51.5,68.00,SOC,no
A0001940X,36,2.5,16.5,,,23.80,FOS,yes
A0001826R,53,3.5,34,24,56,69.70,FOS,nil
A0000833X,50,3,23,8,34,50.20,FOS,nil
A0001268R,51,3,36,23,78.5,78.10,SOC,nil
A0001523A,54,3,70,29,70.5,84.70,FOS,nil
A0001275W,52,4.5,43,15.5,61,70.25,,no
A0001859E,53,3.5,43,21,65.5,73.80,SOC,nil
A0001827N,50,3.5,31.5,16.5,40,59.05,SOC,no
A0001144E,50,3,32,6.5,26.5,48.25,FOS,no
A0001942U,50,3.5,16.5,11.5,,37.55,BIZ,yes
A0001260H,52,4.5,33,17,48.5,64.00,SOC,no
A0001360E,51,3,47,24,74,79.00,FOS,nil
A0001993H,51,3.5,55,9,68,71.20,FOE,nil
A0002132J,49,3,42,17,61,68.80,SOC,no
A0001796E,52,3.5,57,18,47.5,67.90,FOS,nil
A0001587J,50,3,42,15.5,44.5,61.95,FASS,no
A0001776J,52,3.5,45,21,59.5,71.80,FOS,nil
A0000374X,53,3.5,56,21.5,80.5,82.65,SOC,no
A0001136A,50,4,40.5,19,62.5,71.60,FOS,no
A0000330M,50,3.5,29,9.5,51,59.45,SOC,no
A0000948J,36,1,15,7,44,43.10,BIZ,nil
A0000024M,50,2.5,52,21.5,77.5,79.65,FOS,no
A0000273B,55,3,62,22,83,84.60,FOS,no
A0002106H,50,2.5,36,20.5,52.5,65.95,FOS,no
A0000280E,43,4,43,12,61,64.50,FOS,nil
A0000983L,54,3.5,44,20,74,76.90,FOS,nil
A0001971N,48,2.5,33,12.5,49.5,59.15,FOS,yes
A0001355X,52,3.5,51,12,61,69.10,SOC,nil
A0001789B,45,3,14,3,38,45.00,FOS,nil
A0002116E,51,2.5,56,29,78,84.40,FOS,nil
A0000425A,52,3.5,37.5,20.5,44,63.85,SOC,no
A0001566N,52,1,12,10,36,47.80,FASS,nil
A0001251H,50,3.5,44,14,60,68.30,FOS,no
A0000473X,50,2,32,7.5,39,52.75,FOS,no
A0001866J,50,3.5,53,15,58,69.80,FOS,nil
A0000067Y,49,3.5,39,17.5,42.5,61.55,SOC,yes
A0000508Y,54,2.5,47,17.5,78,76.85,FOS,no
A0000401N,52,3.5,61,22.5,73.5,81.35,FOS,no
A0002113L,53,3.5,57,17,73.5,77.80,FOS,no
A0002194U,50,3,38,11,64,66.70,FOS,nil
A0000877H,52,3.5,54,21,66,76.20,FOS,no
A0001907R,52,3,29,8.5,26,48.45,FOS,no
A0000571Y,51,3.5,32,24,65,72.90,FOS,nil
A0001634X,48,4,38,16,64,69.20,BIZ,nil
A0001719N,48,3,20,13,42.5,54.50,SOC,no
A0001849H,48,3.5,44,9,57,63.60,FOS,nil
A0002093X,51,3.5,42,21,72.5,76.40,SOC,nil
A0000340L,49,3.5,34,7,45,56.30,FOS,nil
A0000184Y,52,3.5,64,25,78,85.00,FOS,nil
A0001828M,50,3.5,25,6,36,50.90,FOS,nil
A0001249U,48,1.5,33,22,63,68.30,FOS,nil
A0001926N,47,3,11,4,26,41.10,SDE,nil
A0001391X,44,2.5,15,1,24,37.60,FOS,nil
A0001533B,50,3.5,36,16.5,46.5,62.55,FASS,no
A0000307E,51,3.5,39,5.5,26,49.45,FOS,yes
A0000393W,52,3,59,19.5,64.5,75.35,,no
A0001269N,46,3,42,7,35,51.90,FOS,nil
A0000373Y,50,3,60,26,65,79.00,FOS,nil
A0000126H,51,3.5,46,13,57,67.00,BIZ,nil
A0001608W,50,4,42,16,54.5,67.20,SOC,no
A0000847M,49,3,32,9.5,,38.65,FASS,yes
A0000981N,52,3.5,36,16.5,56,66.35,FOS,no
A0000262E,48,4.5,35,11.5,29.5,53.05,,no
A0001145A,39,1.5,28,12,51,53.00,FOS,nil
A0001946L,50,3.5,52,21,67,76.20,FOS,nil
A0000426B,54,3.5,34,19,75,74.80,FOS,nil
A0001022N,50,4,34.5,13,45.5,60.60,FOS,no
A0001143H,51,3.5,35,21,49.5,65.80,FOS,nil
A0000787H,52,3,43,20,57,69.40,SOC,nil
A0001524B,53,3.5,50,26,70,79.50,SOC,nil
A0000153H,50,3.5,40.5,17.5,52.5,66.35,FOS,no
A0001502J,47,2.5,25,8,59,58.60,SOC,no
A0000710J,49,3.5,53,27,43,69.30,FOS,nil
A0001425B,49,3,41,8,49,59.30,FOS,nil
A0000794L,50,2.5,33,7.5,41,54.25,FOS,no
A0000880U,50,3,55,24,74,80.60,FOS,nil
A0000816W,50,4,32,12,48.5,60.80,FOS,no
A0000381B,53,5,47,30,67,81.20,FOS,nil
A0000574U,53,3,45,25,77,80.30,FOS,nil
A0001165Y,50,2.5,25,4,38,49.70,FOS,nil
A0001930Y,45,3,24,6,43.5,50.70,FOS,nil
A0000050N,52,3.5,48,17,75.5,76.80,SOC,nil
A0001209B,54,4.5,40,15,49,64.60,FASS,nil
A0001714Y,52,3.5,37,25,65.5,74.60,SOC,nil
A0000712E,51,3.5,25,25,62,70.80,FOS,nil
A0000312M,53,3.5,46.5,29.5,72,81.35,FOS,no
A0001551B,50,3.5,36,15,46,61.60,FOS,no
A0001471Y,53,3,60,21,74.5,80.30,FOS,nil
A0001335B,50,4,12,18,42.5,57.40,FOS,yes
A0000680X,49,2.5,12,3.5,29,42.75,FOS,yes
A0001699B,50,1.5,40,,,34.50,FOS,yes
A0000416A,51,3.5,48,22,78,80.30,SOC,nil
A0001482W,54,3,59,27,65,79.30,FASS,no
A0001692N,49,3,54,30,72.5,82.30,FOS,no
A0001943R,50,4.5,34.5,7.5,,40.15,SOC,yes
A0000970U,51,3.5,31.5,15,42,59.10,SOC,no
A0000779E,53,3,38,19,56,67.50,FASS,no
A0001299J,50,2,59,29,75,83.30,FOS,no
A0000225H,50,4,17,11,21,46.30,FOS,nil
A0001957H,51,3.5,49.5,24,77.5,81.40,SOC,no
A0002164Y,55,3.5,74,29,96,96.20,,nil
A0002169N,49,3.5,30,11,39,55.10,FOS,nil
A0002230L,56,3.5,49,22,80.5,81.50,FOS,no
