Date,Timestamp,Players,Twitch Viewers
2020-10-26,06:50,219045,318263
2020-10-26,07:00,210107,306196
2020-10-26,07:10,201353,317229
2020-10-26,07:20,194814,181994
2020-10-26,07:30,190336,186740
2020-10-26,07:40,186640,191973
2020-10-26,07:50,184355,192607
2020-10-26,08:00,182464,176026
2020-10-26,08:10,182704,164439
2020-10-26,08:20,183392,160515
2020-10-26,08:30,184605,158725
2020-10-26,08:40,186184,162788
2020-10-26,08:50,187804,165388
2020-10-26,09:00,190291,164125
2020-10-26,09:10,193108,162336
2020-10-26,09:20,196050,191445
2020-10-26,09:30,197353,189548
2020-10-26,09:40,198530,196929
2020-10-26,09:50,198742,190831
2020-10-26,10:00,198367,197957
2020-10-26,10:10,197758,137802
2020-10-26,10:20,196876,145300
2020-10-26,10:30,195620,148961
2020-10-26,10:40,193627,152646
2020-10-26,10:50,191385,152610
2020-10-26,11:00,187699,150261
2020-10-26,11:10,182583,146990
2020-10-26,11:20,178438,146896
2020-10-26,11:30,173993,144783
2020-10-26,11:40,169204,140328
2020-10-26,11:50,164630,136276
2020-10-26,12:00,158870,126644
2020-10-26,12:10,151872,105274
2020-10-26,12:20,146183,88005
2020-10-26,12:30,141848,87804
2020-10-26,12:40,136950,84585
2020-10-26,12:50,132031,83982
2020-10-26,13:00,126964,80639
2020-10-26,13:10,120306,72742
2020-10-26,13:20,115127,69793
2020-10-26,13:30,109965,68443
2020-10-26,13:40,104952,67391
2020-10-26,13:50,100577,49041
2020-10-26,14:00,96081,49225
2020-10-26,14:10,91422,45566
2020-10-26,14:20,87772,44766
2020-10-26,14:30,84332,42824
2020-10-26,14:40,81199,41896
2020-10-26,14:50,78746,41131
2020-10-26,15:00,76076,40547
2020-10-26,15:10,73719,41192
2020-10-26,15:20,72183,40325
2020-10-26,15:30,71201,40111
2020-10-26,15:40,70238,38788
2020-10-26,15:50,69582,38343
2020-10-26,16:00,68376,37105
2020-10-26,16:10,67828,37036
2020-10-26,16:20,68007,34907
2020-10-26,16:30,68480,35423
2020-10-26,16:40,69051,34379
2020-10-26,16:50,69071,33654
2020-10-26,17:00,68462,34506
2020-10-26,17:10,69433,37234
2020-10-26,17:20,70879,37310
2020-10-26,17:30,72213,37193
2020-10-26,17:40,73028,37656
2020-10-26,17:50,73061,38399
2020-10-26,18:00,73600,40202
2020-10-26,18:10,74772,40157
2020-10-26,18:20,76535,43734
2020-10-26,18:30,78095,45211
2020-10-26,18:40,78830,42949
2020-10-26,18:50,78831,42479
2020-10-26,19:00,79206,42915
2020-10-26,19:10,80514,41145
2020-10-26,19:20,81943,41469
2020-10-26,19:30,83190,37747
2020-10-26,19:40,83821,37847
2020-10-26,19:50,84216,36061
2020-10-26,20:00,84934,37861
2020-10-26,20:10,86442,38580
2020-10-26,20:20,87975,42363
2020-10-26,20:30,89676,36948
2020-10-26,20:40,91406,38298
2020-10-26,20:50,92881,39908
2020-10-26,21:00,93985,47613
2020-10-26,21:10,96279,46207
2020-10-26,21:20,98431,46212
2020-10-26,21:30,100942,45860
2020-10-26,21:40,103961,44991
2020-10-26,21:50,106311,47002
2020-10-26,22:00,107809,46833
2020-10-26,22:10,110527,46370
2020-10-26,22:20,112888,47922
2020-10-26,22:30,114830,38309
2020-10-26,22:40,117310,42356
2020-10-26,22:50,119322,44722
2020-10-26,23:00,120736,43078
2020-10-26,23:10,122096,52338
2020-10-26,23:20,124382,60200
2020-10-26,23:30,125953,66422
2020-10-26,23:40,128024,72032
2020-10-26,23:50,130011,73233
2020-10-27,00:00,130953,78056
2020-10-27,00:10,133420,88066
2020-10-27,00:20,134641,99024
2020-10-27,00:30,137862,101174
2020-10-27,00:40,139794,99637
2020-10-27,00:50,142268,106613
2020-10-27,01:00,143795,107492
2020-10-27,01:10,147095,117134
2020-10-27,01:20,150680,127379
2020-10-27,01:30,153794,129117
2020-10-27,01:40,158243,132466
2020-10-27,01:50,162781,136571
2020-10-27,02:00,167929,133836
2020-10-27,02:10,174813,123416
2020-10-27,02:20,181608,117890
2020-10-27,02:30,189034,123827
2020-10-27,02:40,197402,126456
2020-10-27,02:50,205296,129806
2020-10-27,03:00,215737,143116
2020-10-27,03:10,227420,132069
2020-10-27,03:20,237272,136096
2020-10-27,03:30,246297,136041
2020-10-27,03:40,255655,133714
2020-10-27,03:50,262582,137868
2020-10-27,04:00,269295,147507
2020-10-27,04:10,276709,194988
2020-10-27,04:20,282637,238548
2020-10-27,04:30,285675,370324
2020-10-27,04:40,287613,405290
2020-10-27,04:50,287881,435675
2020-10-27,05:00,285112,430069
2020-10-27,05:10,280371,418346
2020-10-27,05:20,274661,418911
2020-10-27,05:30,269153,415266
2020-10-27,05:40,261926,412729
2020-10-27,05:50,254450,417071
2020-10-27,06:00,245944,419785
2020-10-27,06:10,235525,432805
2020-10-27,06:20,225429,425651
2020-10-27,06:30,216719,433318
2020-10-27,06:40,208078,412136
2020-10-27,06:50,199410,402456
2020-10-27,07:00,191628,356228
2020-10-27,07:10,183506,206314
2020-10-27,07:20,177811,200521
2020-10-27,07:30,173336,200111
2020-10-27,07:40,170181,204938
2020-10-27,07:50,168032,201433
2020-10-27,08:00,166239,197693
2020-10-27,08:10,166048,199896
2020-10-27,08:20,167359,188315
2020-10-27,08:30,169120,183912
2020-10-27,08:40,171443,197732
2020-10-27,08:50,173892,190818
2020-10-27,09:00,175858,199016
2020-10-27,09:10,178858,206162
2020-10-27,09:20,181808,201039
2020-10-27,09:30,184021,217723
2020-10-27,09:40,185926,227991
2020-10-27,09:50,187482,237111
2020-10-27,10:00,187197,247642
2020-10-27,10:10,186330,246013
2020-10-27,10:20,186559,244859
2020-10-27,10:30,185852,251326
2020-10-27,10:40,185153,249810
2020-10-27,10:50,183511,246622
2020-10-27,11:00,181268,245588
2020-10-27,11:10,177120,173036
2020-10-27,11:20,173621,222646
2020-10-27,11:30,170309,224209
2020-10-27,11:40,166075,185774
2020-10-27,11:50,161870,191328
2020-10-27,12:00,157105,185226
2020-10-27,12:10,150657,193999
2020-10-27,12:20,144572,185228
2020-10-27,12:30,140215,187722
2020-10-27,12:40,135253,177492
2020-10-27,12:50,130316,175561
2020-10-27,13:00,125082,194862
2020-10-27,13:10,118533,189678
2020-10-27,13:20,113155,183248
2020-10-27,13:30,108126,180496
2020-10-27,13:40,103124,176590
2020-10-27,13:50,98377,118019
2020-10-27,14:00,94113,114165
2020-10-27,14:10,89481,75179
2020-10-27,14:20,85641,63790
2020-10-27,14:30,81933,54146
2020-10-27,14:40,78928,39171
2020-10-27,14:50,75876,39010
2020-10-27,15:00,73581,36124
2020-10-27,15:10,70690,32002
2020-10-27,15:20,68812,34751
2020-10-27,15:30,67361,35726
2020-10-27,15:40,66534,34279
2020-10-27,15:50,66018,34030
2020-10-27,16:00,65559,32590
2020-10-27,16:10,64899,32845
2020-10-27,16:20,65154,31279
2020-10-27,16:30,66102,31194
2020-10-27,16:40,67089,31852
2020-10-27,16:50,67342,31183
2020-10-27,17:00,67143,31755
2020-10-27,17:10,67528,34804
2020-10-27,17:20,68570,33331
2020-10-27,17:30,70104,45693
2020-10-27,17:40,71469,42358
2020-10-27,17:50,72029,49717
2020-10-27,18:00,72305,46362
2020-10-27,18:10,73292,48081
2020-10-27,18:20,74833,50422
2020-10-27,18:30,76442,49581
2020-10-27,18:40,77755,52081
2020-10-27,18:50,78073,57222
2020-10-27,19:00,78061,55840
2020-10-27,19:10,78457,56482
2020-10-27,19:20,79867,59595
2020-10-27,19:30,81568,61605
2020-10-27,19:40,83171,63905
2020-10-27,19:50,83740,65607
2020-10-27,20:00,84394,63745
2020-10-27,20:10,86401,64464
2020-10-27,20:20,88546,61874
2020-10-27,20:30,90003,67025
2020-10-27,20:40,91381,69724
2020-10-27,20:50,92923,72735
2020-10-27,21:00,93738,76497
2020-10-27,21:10,96006,76503
2020-10-27,21:20,97986,76225
2020-10-27,21:30,99641,77813
2020-10-27,21:40,102169,78875
2020-10-27,21:50,104131,82469
2020-10-27,22:00,106599,88116
2020-10-27,22:10,109098,85225
2020-10-27,22:20,111374,87714
2020-10-27,22:30,113524,86205
2020-10-27,22:40,116027,78763
2020-10-27,22:50,118379,82156
2020-10-27,23:00,119369,89838
2020-10-27,23:10,120949,94398
2020-10-27,23:20,123145,97659
2020-10-27,23:30,124540,100466
2020-10-27,23:40,126487,101657
2020-10-27,23:50,127524,106287
2020-10-28,00:00,128956,113842
2020-10-28,00:10,130876,118731
2020-10-28,00:20,129134,119962
2020-10-28,00:30,128305,113194
2020-10-28,00:40,130109,116039
2020-10-28,00:50,132169,118663
2020-10-28,01:00,133467,118535
2020-10-28,01:10,136015,116761
2020-10-28,01:20,136766,124816
2020-10-28,01:30,140388,128626
2020-10-28,01:40,144472,130872
2020-10-28,01:50,148432,133562
2020-10-28,02:00,152794,139552
2020-10-28,02:10,161600,138999
2020-10-28,02:20,168021,143838
2020-10-28,02:30,174858,144620
2020-10-28,02:40,181924,152409
2020-10-28,02:50,188750,144622
2020-10-28,03:00,196974,153039
2020-10-28,03:10,208501,208821
2020-10-28,03:20,219152,223128
2020-10-28,03:30,228270,245074
2020-10-28,03:40,237270,263546
2020-10-28,03:50,245241,258584
2020-10-28,04:00,253189,277025
2020-10-28,04:10,262430,276280
2020-10-28,04:20,269377,288656
2020-10-28,04:30,273870,301228
2020-10-28,04:40,276338,305277
2020-10-28,04:50,277172,321636
2020-10-28,05:00,276990,327290
2020-10-28,05:10,272862,308625
2020-10-28,05:20,269157,307840
2020-10-28,05:30,264347,292387
2020-10-28,05:40,257689,286125
2020-10-28,05:50,251673,270537
2020-10-28,06:00,239367,244488
2020-10-28,06:10,232823,188196
2020-10-28,06:20,225932,170054
2020-10-28,06:30,218916,171975
2020-10-28,06:40,210814,184061
2020-10-28,06:50,203513,177097
2020-10-28,07:00,195745,163977
2020-10-28,07:10,187709,167426
2020-10-28,07:20,155202,154965
2020-10-28,07:30,175005,133828
2020-10-28,07:40,172146,135921
2020-10-28,07:50,169805,146649
2020-10-28,08:00,167999,120968
2020-10-28,08:10,167295,94164
2020-10-28,08:20,168152,89561
2020-10-28,08:30,169071,96017
2020-10-28,08:40,170886,92962
2020-10-28,08:50,172512,95898
2020-10-28,09:00,174274,96704
2020-10-28,09:10,177303,110222
2020-10-28,09:20,180931,125321
2020-10-28,09:30,183477,136943
2020-10-28,09:40,186166,153786
2020-10-28,09:50,188635,153665
2020-10-28,10:00,188987,152191
2020-10-28,10:10,188325,139604
2020-10-28,10:20,188584,145956
2020-10-28,10:30,188390,154104
2020-10-28,10:40,186922,157233
2020-10-28,10:50,185564,179297
2020-10-28,11:00,182958,203896
2020-10-28,11:10,178451,238916
2020-10-28,11:20,175098,233971
2020-10-28,11:30,171429,234943
2020-10-28,11:40,166996,230285
2020-10-28,11:50,162430,227668
2020-10-28,12:00,157555,206268
2020-10-28,12:10,151290,200666
2020-10-28,12:20,145844,174811
2020-10-28,12:30,140734,170696
2020-10-28,12:40,135337,170269
2020-10-28,12:50,130528,168839
2020-10-28,13:00,125074,166969
2020-10-28,13:10,118625,168867
2020-10-28,13:20,112674,162096
2020-10-28,13:30,108086,158620
2020-10-28,13:40,103071,154789
2020-10-28,13:50,98654,158477
2020-10-28,14:00,94323,151186
2020-10-28,14:10,89534,133425
2020-10-28,14:20,85134,121938
2020-10-28,14:30,81587,112804
2020-10-28,14:40,78235,108924
2020-10-28,14:50,75525,105258
2020-10-28,15:00,73254,105751
2020-10-28,15:10,70631,107483
2020-10-28,15:20,68743,103727
2020-10-28,15:30,67419,93418
2020-10-28,15:40,66635,38995
2020-10-28,15:50,65861,40890
2020-10-28,16:00,64654,39585
2020-10-28,16:10,63588,40164
2020-10-28,16:20,63591,40094
2020-10-28,16:30,64087,39258
2020-10-28,16:40,65202,42356
2020-10-28,16:50,65172,39387
2020-10-28,17:00,64909,38840
2020-10-28,17:10,65154,38062
2020-10-28,17:20,66389,40343
2020-10-28,17:30,67917,39076
2020-10-28,17:40,69295,38611
2020-10-28,17:50,69331,38376
2020-10-28,18:00,69550,38362
2020-10-28,18:10,71054,37267
2020-10-28,18:20,72809,35822
2020-10-28,18:30,74839,36917
2020-10-28,18:40,76174,37793
2020-10-28,18:50,76382,38483
2020-10-28,19:00,76398,39283
2020-10-28,19:10,77146,40217
2020-10-28,19:20,78370,40713
2020-10-28,19:30,79421,41223
2020-10-28,19:40,80640,42279
2020-10-28,19:50,81058,43863
2020-10-28,20:00,81463,44776
2020-10-28,20:10,82866,38475
2020-10-28,20:20,84411,37753
2020-10-28,20:30,86312,35051
2020-10-28,20:40,88520,37989
2020-10-28,20:50,90381,37977
2020-10-28,21:00,92133,38659
2020-10-28,21:10,94665,39131
2020-10-28,21:20,97310,41622
2020-10-28,21:30,99930,36745
2020-10-28,21:40,102741,46342
2020-10-28,21:50,105175,48433
2020-10-28,22:00,107380,48839
2020-10-28,22:10,109606,40670
2020-10-28,22:20,112356,42586
2020-10-28,22:30,114248,44068
2020-10-28,22:40,116080,44010
2020-10-28,22:50,118295,46044
2020-10-28,23:00,118517,49060
2020-10-28,23:10,119590,88086
2020-10-28,23:20,121223,130789
2020-10-28,23:30,122542,166166
2020-10-28,23:40,124649,185442
2020-10-28,23:50,126279,228641
2020-10-29,00:00,127347,251108
2020-10-29,00:10,129779,263727
2020-10-29,00:20,131592,277911
2020-10-29,00:30,133103,283697
2020-10-29,00:40,135175,291192
2020-10-29,00:50,136861,288391
2020-10-29,01:00,137957,279193
2020-10-29,01:10,140080,292728
2020-10-29,01:20,142991,293696
2020-10-29,01:30,146436,286180
2020-10-29,01:40,150545,291592
2020-10-29,01:50,154536,301515
2020-10-29,02:00,158861,310114
2020-10-29,02:10,165376,310318
2020-10-29,02:20,171322,297058
2020-10-29,02:30,177442,297083
2020-10-29,02:40,184382,156344
2020-10-29,02:50,190678,132151
2020-10-29,03:00,198916,131632
2020-10-29,03:10,210928,126174
2020-10-29,03:20,221048,123471
2020-10-29,03:30,230311,116875
2020-10-29,03:40,239213,113995
2020-10-29,03:50,246490,116404
2020-10-29,04:00,251747,122919
2020-10-29,04:10,257880,244867
2020-10-29,04:20,263707,314742
2020-10-29,04:30,267590,342305
2020-10-29,04:40,270191,354671
2020-10-29,04:50,271017,349099
2020-10-29,05:00,270475,388969
2020-10-29,05:10,265905,373712
2020-10-29,05:20,261848,373647
2020-10-29,05:30,257273,357158
2020-10-29,05:40,251538,354786
2020-10-29,05:50,244912,294606
2020-10-29,06:00,238346,296120
2020-10-29,06:10,230757,305791
2020-10-29,06:20,223813,292356
2020-10-29,06:30,216602,217370
2020-10-29,06:40,209661,242454
2020-10-29,06:50,202407,231009
2020-10-29,07:00,195032,221652
2020-10-29,07:10,187339,216828
2020-10-29,07:20,181094,215120
2020-10-29,07:30,176019,216335
2020-10-29,07:40,171794,129153
2020-10-29,07:50,168643,128497
2020-10-29,08:00,166723,126348
2020-10-29,08:10,164426,113659
2020-10-29,08:20,164436,92485
2020-10-29,08:30,164900,85560
2020-10-29,08:40,166405,100539
2020-10-29,08:50,168234,99578
2020-10-29,09:00,169808,97637
2020-10-29,09:10,171607,93556
2020-10-29,09:20,174440,96306
2020-10-29,09:30,176951,77538
2020-10-29,09:40,179655,93361
2020-10-29,09:50,181577,104903
2020-10-29,10:00,181981,115642
2020-10-29,10:10,182517,171244
2020-10-29,10:20,184288,187572
2020-10-29,10:30,183915,195201
2020-10-29,10:40,183875,198383
2020-10-29,10:50,182509,204903
2020-10-29,11:00,179799,202951
2020-10-29,11:10,176110,201353
2020-10-29,11:20,173180,198646
2020-10-29,11:30,170385,231621
2020-10-29,11:40,166865,234761
2020-10-29,11:50,162877,224805
2020-10-29,12:00,157831,295691
2020-10-29,12:10,151519,296760
2020-10-29,12:20,146227,292900
2020-10-29,12:30,140781,290183
2020-10-29,12:40,134966,292304
2020-10-29,12:50,129705,278880
2020-10-29,13:00,124447,282142
2020-10-29,13:10,117672,233576
2020-10-29,13:20,112148,223414
2020-10-29,13:30,107203,218439
2020-10-29,13:40,101981,207912
2020-10-29,13:50,97519,203742
2020-10-29,14:00,93062,203362
2020-10-29,14:10,87951,195075
2020-10-29,14:20,84060,126498
2020-10-29,14:30,80866,125523
2020-10-29,14:40,77389,51001
2020-10-29,14:50,74394,51971
2020-10-29,15:00,71565,47297
2020-10-29,15:10,68732,47791
2020-10-29,15:20,66616,48217
2020-10-29,15:30,65377,46400
2020-10-29,15:40,63993,39264
2020-10-29,15:50,63324,38489
2020-10-29,16:00,62413,37860
2020-10-29,16:10,61022,37585
2020-10-29,16:20,60790,37268
2020-10-29,16:30,60681,37589
2020-10-29,16:40,61696,35160
2020-10-29,16:50,61739,34959
2020-10-29,17:00,61717,35214
2020-10-29,17:10,61998,34294
2020-10-29,17:20,62550,35158
2020-10-29,17:30,63902,34972
2020-10-29,17:40,64973,34102
2020-10-29,17:50,65111,34502
2020-10-29,18:00,65344,35941
2020-10-29,18:10,66669,35535
2020-10-29,18:20,68647,35492
2020-10-29,18:30,70144,35142
2020-10-29,18:40,71410,36030
2020-10-29,18:50,71315,37097
2020-10-29,19:00,71588,37831
2020-10-29,19:10,72338,38573
2020-10-29,19:20,73635,39112
2020-10-29,19:30,74911,39920
2020-10-29,19:40,75686,46928
2020-10-29,19:50,76423,49394
2020-10-29,20:00,77275,46791
2020-10-29,20:10,79208,48813
2020-10-29,20:20,81212,48681
2020-10-29,20:30,83352,48857
2020-10-29,20:40,85241,50822
2020-10-29,20:50,87304,49730
2020-10-29,21:00,88717,58825
2020-10-29,21:10,91268,60284
2020-10-29,21:20,93808,53236
2020-10-29,21:30,96522,51653
2020-10-29,21:40,99133,50742
2020-10-29,21:50,101743,51755
2020-10-29,22:00,103819,54240
2020-10-29,22:10,106679,54125
2020-10-29,22:20,109243,51030
2020-10-29,22:30,111286,39365
2020-10-29,22:40,114249,40769
2020-10-29,22:50,116909,41872
2020-10-29,23:00,117624,49792
2020-10-29,23:10,119331,56149
2020-10-29,23:20,121766,61073
2020-10-29,23:30,123492,70999
2020-10-29,23:40,124428,78463
2020-10-29,23:50,124368,124050
2020-10-30,00:00,124724,145280
2020-10-30,00:10,125482,162496
2020-10-30,00:20,127055,190861
2020-10-30,00:30,128462,203038
2020-10-30,00:40,130448,203054
2020-10-30,00:50,132179,216946
2020-10-30,01:00,133470,218844
2020-10-30,01:10,136381,224310
2020-10-30,01:20,139160,210819
2020-10-30,01:30,142038,201823
2020-10-30,01:40,145554,194553
2020-10-30,01:50,148558,192463
2020-10-30,02:00,152707,211757
2020-10-30,02:10,158706,218574
2020-10-30,02:20,165002,223530
2020-10-30,02:30,171934,214027
2020-10-30,02:40,178858,216798
2020-10-30,02:50,186146,212025
2020-10-30,03:00,194378,139338
2020-10-30,03:10,200469,203317
2020-10-30,03:20,209469,210810
2020-10-30,03:30,209262,209429
2020-10-30,03:40,225063,215208
2020-10-30,03:50,237056,230568
2020-10-30,04:00,246528,251903
2020-10-30,04:10,256812,312643
2020-10-30,04:20,263740,328101
2020-10-30,04:30,267765,326584
2020-10-30,04:40,270832,329688
2020-10-30,04:50,271670,329658
2020-10-30,05:00,270983,330929
2020-10-30,05:10,267409,334919
2020-10-30,05:20,263112,424936
2020-10-30,05:30,256738,419078
2020-10-30,05:40,251087,383959
2020-10-30,05:50,246013,377656
2020-10-30,06:00,240309,374376
2020-10-30,06:10,232267,314377
2020-10-30,06:20,225274,285034
2020-10-30,06:30,217975,280707
2020-10-30,06:40,210903,277301
2020-10-30,06:50,203068,254092
2020-10-30,07:00,195429,259478
2020-10-30,07:10,187689,144273
2020-10-30,07:20,182104,128619
2020-10-30,07:30,160409,135017
2020-10-30,07:40,170114,136462
2020-10-30,07:50,167048,136274
2020-10-30,08:00,164905,129254
2020-10-30,08:10,163532,132155
2020-10-30,08:20,162703,127552
2020-10-30,08:30,163061,115392
2020-10-30,08:40,164522,120154
2020-10-30,08:50,165784,116446
2020-10-30,09:00,167157,119308
2020-10-30,09:10,170079,119896
2020-10-30,09:20,173045,123084
2020-10-30,09:30,174628,108084
2020-10-30,09:40,176742,114981
2020-10-30,09:50,178459,116095
2020-10-30,10:00,178632,112432
2020-10-30,10:10,178461,113353
2020-10-30,10:20,178645,119500
2020-10-30,10:30,178653,113362
2020-10-30,10:40,177576,112453
2020-10-30,10:50,176437,104226
2020-10-30,11:00,173955,99000
2020-10-30,11:10,170110,94488
2020-10-30,11:20,167633,96871
2020-10-30,11:30,164560,94846
2020-10-30,11:40,161032,89886
2020-10-30,11:50,157065,88051
2020-10-30,12:00,152215,87139
2020-10-30,12:10,146056,83239
2020-10-30,12:20,141037,100229
2020-10-30,12:30,136325,99390
2020-10-30,12:40,131648,99626
2020-10-30,12:50,127213,98327
2020-10-30,13:00,121919,96991
2020-10-30,13:10,115326,94335
2020-10-30,13:20,109288,87703
2020-10-30,13:30,104814,82758
